"selector","context","specificity","ownership","occurrenceCount","firstDefinition","laterOverrides","files","importantDeclarationCount","afterDocumentClose","runtimeReferenceCount","likelyObsoleteReview","movementRisk","movementRiskScore","movementRiskReasons"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeProductTable:not(.compareColumnsV6301) th","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","910","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeProductTable:not(.compareColumnsV6301) th:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:380","","TatRemakeAliasStyles.html","2","true","910","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeProductTable:not(.compareColumnsV6301) th:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:386","","TatRemakeAliasStyles.html","1","true","910","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeReasonTable:not(.compareColumnsV6301) td","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","827","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeReasonTable:not(.compareColumnsV6301) td:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:373","","TatRemakeAliasStyles.html","2","true","827","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeReasonTable:not(.compareColumnsV6301) td:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:377","","TatRemakeAliasStyles.html","1","true","827","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeReasonTable:not(.compareColumnsV6301) th","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","827","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeReasonTable:not(.compareColumnsV6301) th:first-child","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:373","","TatRemakeAliasStyles.html","2","true","827","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeReasonTable:not(.compareColumnsV6301) th:not(:first-child)","@media(min-width:981px)","2-3-1","Shared","1","TatRemakeAliasStyles.html:377","","TatRemakeAliasStyles.html","1","true","827","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownButtonV6245","","1-1-0","Shared","1","SharedTopParityStyles.html:75","","SharedTopParityStyles.html","20","true","19","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeFilter label","","1-1-1","Shared","1","TatRemakeAliasStyles.html:102","","TatRemakeAliasStyles.html","9","true","52","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeHiddenSelectV6245","","1-1-0","Shared","1","TatRemakeAliasStyles.html:112","","TatRemakeAliasStyles.html","1","true","9","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeMultiFilterV6245","","1-1-0","Shared","1","TatRemakeAliasStyles.html:99","","TatRemakeAliasStyles.html","2","true","10","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 #remakeTabViewsV6382 svg","","2-0-1","Shared","1","TatRemakeAliasStyles.html:950","","TatRemakeAliasStyles.html","11","true","14","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509.cdaIconToolbarV6527 .remakeCacheActionBarV6338 .remakeButton","","1-3-0","Shared","1","SharedTopParityStyles.html:313","","SharedTopParityStyles.html","5","true","43","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509.cdaIconToolbarV6527 .remakeCacheActionLabelV6338","","1-2-0","Shared","1","SharedTopParityStyles.html:321","","SharedTopParityStyles.html","1","true","13","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509.cdaIconToolbarV6527 .remakeDropdownButtonV6245","","1-2-0","Shared","1","SharedTopParityStyles.html:307","","SharedTopParityStyles.html","8","true","21","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509.cdaIconToolbarV6527 .remakeDropdownButtonV6245::after","","1-2-1","Shared","1","SharedTopParityStyles.html:309","","SharedTopParityStyles.html","1","true","21","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509.cdaIconToolbarV6527 .remakeDropdownButtonV6245::before","","1-2-1","Shared","1","SharedTopParityStyles.html:311","","SharedTopParityStyles.html","8","true","21","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509.cdaIconToolbarV6527 .remakeFilter","","1-2-0","Shared","1","SharedTopParityStyles.html:305","","SharedTopParityStyles.html","3","true","54","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509.cdaIconToolbarV6527 .remakeTabResetV6337::before","","1-2-1","Shared","1","SharedTopParityStyles.html:319","","SharedTopParityStyles.html","3","true","13","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"body.remakeCompactActiveV6382 #tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) td:first-child","@media (max-width:1279px)","2-4-2","Shared","1","TatRemakeAliasStyles.html:1040","","TatRemakeAliasStyles.html","3","true","904","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"body.remakeCompactActiveV6382 #tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) td:not(:first-child)","@media (max-width:1279px)","2-4-2","Shared","1","TatRemakeAliasStyles.html:1045","","TatRemakeAliasStyles.html","3","true","904","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"body.remakeCompactActiveV6382 #tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) th:first-child","@media (max-width:1279px)","2-4-2","Shared","1","TatRemakeAliasStyles.html:1040","","TatRemakeAliasStyles.html","3","true","904","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
