"cascadeOrder","selector","context","file","line","styleId","styleBlockOrder","includeOrder","afterDocumentClose","specificity","ownership","importantDeclarationCount","declarations"
"151",".topBar.executiveTop","","DashboardBaseStyles.html","847","","1","1","false","0-2-0","Shared","0","grid-template-columns: auto auto auto minmax(650px, 1fr); gap: 8px; margin-bottom: 8px"
"152",".kpiStrip","","DashboardBaseStyles.html","853","","1","1","false","0-1-0","Shared","0","grid-template-columns: repeat(6, minmax(105px, 1fr))"
"153",".kpiMini","","DashboardBaseStyles.html","857","","1","1","false","0-1-0","Shared","0","border-radius: 10px; border-color: #dbe5f0; background: linear-gradient(180deg, #ffffff 0%, #f8fbff 100%); box-shadow: 0 2px 8px rgba(15, 23, 42, 0.06); position: relative; overflow: hidden"
"154",".kpiMini::before","","DashboardBaseStyles.html","866","","1","1","false","0-1-1","Shared","0","content: ''; position: absolute; left: 0; top: 0; width: 100%; height: 3px; background: linear-gradient(90deg, #2563eb 0%, #8b5cf6 65%, #06b6d4 100%)"
"155",".kpiMini .value","","DashboardBaseStyles.html","876","","1","1","false","0-2-0","Shared","0","color: #0f172a"
"156",".kpiMini .value.bad","","DashboardBaseStyles.html","880","","1","1","false","0-3-0","Shared","0","color: #dc2626"
"157",".kpiMini .value.good","","DashboardBaseStyles.html","884","","1","1","false","0-3-0","Shared","0","color: #059669"
"158",".filterDeck.dropdownDeck","","DashboardBaseStyles.html","888","","1","1","false","0-2-0","Shared","0","grid-template-columns: minmax(235px, 0.75fr) minmax(250px, 1fr) minmax(250px, 1fr) minmax(190px, 0.6fr); gap: 8px; margin-bottom: 8px"
"159",".filterCard","","DashboardBaseStyles.html","894","","1","1","false","0-1-0","Shared","0","border-color: #dbe5f0; box-shadow: 0 1px 3px rgba(15, 23, 42, 0.06)"
"160",".segGroup","","DashboardBaseStyles.html","894","","1","1","false","0-1-0","Shared","0","border-color: #dbe5f0; box-shadow: 0 1px 3px rgba(15, 23, 42, 0.06)"
"161",".resetBtn","","DashboardBaseStyles.html","894","","1","1","false","0-1-0","Shared","0","border-color: #dbe5f0; box-shadow: 0 1px 3px rgba(15, 23, 42, 0.06)"
"162",".card","","DashboardBaseStyles.html","894","","1","1","false","0-1-0","Shared","0","border-color: #dbe5f0; box-shadow: 0 1px 3px rgba(15, 23, 42, 0.06)"
"163",".sectionHeader","","DashboardBaseStyles.html","902","","1","1","false","0-1-0","Shared","0","background: #132238; border-color: #24364f"
"164","th","","DashboardBaseStyles.html","902","","1","1","false","0-0-1","Shared","0","background: #132238; border-color: #24364f"
